Date,Unemployment Rate,Inflation (PCE),Interest Rates,Industrial Production,Consumer Sentiment,S&P500
2020-12-31,6.7,14801.8,0.09,97.9754,80.7,3756.070068359375
2021-01-31,6.4,15047.3,0.09,98.7836,79.0,3714.239990234375
2021-02-28,6.2,14948.2,0.08,95.3744,76.8,3811.14990234375
2021-03-31,6.1,15657.6,0.07,98.1351,84.9,3972.889892578125
2021-04-30,6.1,15854.1,0.07,98.2886,88.3,4181.169921875
2021-05-31,5.8,15890.0,0.06,99.1508,82.9,4204.10986328125
2021-06-30,5.9,16108.5,0.08,99.5096,85.5,4297.5
2021-07-31,5.4,16150.8,0.1,100.1231,81.2,4395.259765625
2021-08-31,5.1,16305.6,0.09,100.1255,70.3,4522.68017578125
2021-09-30,4.7,16398.9,0.08,99.0614,72.8,4307.5400390625
2021-10-31,4.5,16613.8,0.08,100.3045,71.7,4605.3798828125
2021-11-30,4.1,16741.6,0.08,101.1971,67.4,4567.0
2021-12-31,3.9,16799.2,0.08,100.886,70.6,4766.18017578125
2022-01-31,4.0,16888.6,0.08,101.0227,67.2,4515.5498046875
2022-02-28,3.8,16999.7,0.08,101.6766,62.8,4373.93994140625
2022-03-31,3.6,17203.6,0.2,102.478,59.4,4530.41015625
2022-04-30,3.7,17310.5,0.33,102.7953,65.2,4131.93017578125
2022-05-31,3.6,17384.8,0.77,102.7769,58.4,4132.14990234375
2022-06-30,3.6,17550.0,1.21,102.6863,50.0,3785.3798828125
2022-07-31,3.5,17556.4,1.68,103.1328,51.5,4130.2900390625
2022-08-31,3.6,17692.2,2.33,103.2344,58.2,3955.0
2022-09-30,3.5,17804.0,2.56,103.5283,58.6,3585.6201171875
2022-10-31,3.6,17915.1,3.08,103.4114,59.9,3871.97998046875
2022-11-30,3.6,17892.5,3.78,103.0707,56.7,4080.110107421875
2022-12-31,3.5,17943.6,4.1,101.4848,59.8,3839.5
2023-01-31,3.4,18229.6,4.33,102.5478,64.9,4076.60009765625
2023-02-28,3.6,18296.5,4.57,102.5671,66.9,3970.14990234375
2023-03-31,3.5,18282.6,4.65,102.6592,62.0,4109.31005859375
2023-04-30,3.4,18363.8,4.83,103.1512,63.7,4169.47998046875
2023-05-31,3.7,18407.8,5.06,102.924,59.0,4179.830078125
2023-06-30,3.6,18485.4,5.08,102.3002,64.2,4450.3798828125
2023-07-31,3.5,18595.4,5.12,103.19,71.5,4588.9599609375
2023-08-31,3.8,18651.6,5.33,103.1141,69.4,4507.66015625
2023-09-30,3.8,18791.5,5.33,103.2974,67.8,4288.0498046875
2023-10-31,3.8,18826.8,5.33,102.5502,63.8,4193.7998046875
2023-11-30,3.7,18903.0,5.33,102.9955,61.3,4567.7998046875
2023-12-31,3.7,19013.7,5.33,102.692,69.7,4769.830078125
2024-01-31,3.7,19043.6,5.33,102.2251,79.0,4845.64990234375
2024-02-29,3.9,19189.0,5.33,102.3313,76.9,5096.27001953125
